episode,time,cart_pos,cart_vel,pole_angle,pole_vel,action,reward
0,0.0,-0.25925022,0.35647172,-0.0,-0.0,-0.6526693105697632,1.436347246170044
0,0.02,-0.27035558,0.34933951,-0.85413384,-0.54703444,-0.5954319834709167,1.3709818124771118
0,0.04,-0.29362115,0.334493,-1.518262,-0.96534383,-0.5365052819252014,1.2995425462722778
0,0.06,-0.3260995,0.31391048,-2.0159562,-1.272141,-0.4804050624370575,1.2364170551300049
0,0.08,-0.36527932,0.2892666,-2.3733017,-1.4853911,-0.4296359717845917,1.1879128217697144
0,0.1,-0.40909183,0.26193714,-2.6160672,-1.6224791,-0.38679376244544983,1.1544498205184937
0,0.12,-0.45590878,0.23300153,-2.769963,-1.7007967,-0.35356560349464417,1.1330969333648682
0,0.14,-0.50452656,0.20324951,-2.8595078,-1.737148,-0.32970985770225525,1.1198667287826538
0,0.16,-0.55411506,0.17321283,-2.905657,-1.7461014,-0.3135804831981659,1.1111748218536377
0,0.18,-0.604139,0.14321686,-2.924421,-1.7389259,-0.3031257092952728,1.1043851375579834
0,0.2,-0.6542743,0.11343725,-2.926975,-1.723567,-0.2965258061885834,1.0977931022644043
0,0.22,-0.70433784,0.08394906,-2.9206016,-1.7052416,-0.29238399863243103,1.0904139280319214
0,0.24,-0.7542346,0.054764044,-2.909762,-1.6871601,-0.2896932065486908,1.0817561149597168
0,0.26,-0.8039207,0.025856936,-2.8969848,-1.6711451,-0.2877306044101715,1.0716502666473389
0,0.28,-0.8533789,-0.00281654,-2.8835037,-1.6580778,-0.2859502136707306,1.0601385831832886
0,0.3,-0.9026014,-0.031307373,-2.8696594,-1.6481904,-0.28390100598335266,1.047407627105713
0,0.32,-0.951578,-0.059664465,-2.855149,-1.6412458,-0.28116390109062195,1.0337575674057007
0,0.34,-1.0002863,-0.08792784,-2.8391566,-1.6366347,-0.2772960364818573,1.0195932388305664
0,0.36,-1.0486845,-0.11612268,-2.8203912,-1.6334071,-0.2717815339565277,1.0054352283477783
0,0.38,-1.0967013,-0.14425327,-2.7970555,-1.6302562,-0.26397815346717834,0.9919418096542358
0,0.4,-1.1442268,-0.17229615,-2.766752,-1.6254555,-0.2530515491962433,0.9799440503120422
0,0.42,-1.1911007,-0.20019136,-2.7263129,-1.6167476,-0.23789837956428528,0.9704850912094116
0,0.44,-1.2370948,-0.22783135,-2.6715531,-1.6011817,-0.2170828878879547,0.9648438096046448
0,0.46,-1.281892,-0.2550467,-2.5969753,-1.5749241,-0.18884101510047913,0.964500904083252
0,0.48,-1.325061,-0.28158903,-2.4955215,-1.5331082,-0.1513417363166809,0.9709435105323792
0,0.5,-1.3660314,-0.30711508,-2.3587039,-1.4699569,-0.10350236296653748,0.9851714968681335
0,0.52,-1.4040835,-0.33118224,-2.1777835,-1.3796284,-0.04641679301857948,1.0068987607955933
0,0.54,-1.4383827,-0.3532732,-1.9466623,-1.2581986,0.01590612158179283,1.0339901447296143
0,0.56,-1.4680694,-0.37285858,-1.6653311,-1.1059312,0.07876032590866089,1.0630028247833252
0,0.58,-1.4923636,-0.38946664,-1.3399287,-0.92713654,0.14008238911628723,1.0905425548553467
0,0.6,-1.5106142,-0.40271226,-0.97842115,-0.7270926,0.19991806149482727,1.145207405090332
0,0.62,-1.5222913,-0.41228673,-0.58758557,-0.50998384,0.2575344145298004,1.868140459060669
0,0.64,-1.5269808,-0.41794977,-0.17419821,-0.27974883,0.31012097001075745,1.6669892072677612
0,0.66,-1.5244203,-0.4195495,0.2522345,-0.04196287,0.3534156382083893,1.146446704864502
0,0.68,-1.5145655,-0.41706496,0.6779289,0.19505565,0.38389864563941956,1.1268353462219238
0,0.7000000000000001,-1.4976442,-0.41064107,1.0863477,0.4211431,0.40077853202819824,1.111750841140747
0,0.72,-1.4741517,-0.40058827,1.4621143,0.62676173,0.40576764941215515,1.0946241617202759
0,0.74,-1.4447918,-0.38734648,1.7941146,0.8049734,0.40157559514045715,1.078912377357483
0,0.76,-1.4103929,-0.3714346,2.076224,0.9519116,0.39088407158851624,1.067394733428955
0,0.78,-1.3718338,-0.35340348,2.3066118,1.0663664,0.3760306239128113,1.0618557929992676
0,0.8,-1.329981,-0.33379817,2.486728,1.1491909,0.35894760489463806,1.0630478858947754
0,0.8200000000000001,-1.2856463,-0.31313014,2.6203516,1.2027473,0.34112924337387085,1.0708448886871338
0,0.84,-1.2395582,-0.291858,2.7127166,1.2303852,0.3236399292945862,1.0844933986663818
0,0.86,-1.1923461,-0.27037653,2.7697628,1.2359748,0.3071820139884949,1.1028764247894287
0,0.88,-1.144536,-0.24901254,2.7975678,1.2235404,0.29219380021095276,1.1247364282608032
0,0.9,-1.096553,-0.22802536,2.801984,1.1970093,0.27893027663230896,1.1488380432128906
